"","histmean","X911","X1779","X1964","X2070","2556","0.81818","5209","5334","5532"
"1",1,1,1,1,1,1,1,1,1,1
"2",2,2,2,2,2,2,2,2,2,2
"3",1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1
"5",2,2,2,2,2,2,2,2,2,2
"6",1,1,1,1,1,1,1,1,1,1
"7",2,2,2,2,2,2,2,2,2,2
"8",1,1,1,1,1,1,1,1,1,1
"9",2,2,2,2,2,2,2,2,2,2
"10",1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1
"13",2,2,2,2,2,2,2,2,2,2
"14",1,1,1,1,1,1,1,1,1,1
"15",2,2,2,2,2,2,2,2,2,2
"16",2,2,2,2,2,2,2,2,2,2
"17",1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1
"19",2,2,2,2,2,2,2,2,2,2
"20",2,2,2,2,2,2,2,2,2,2
"21",1,1,1,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,1
"23",2,2,2,2,2,2,2,2,2,2
"24",1,1,1,1,1,1,1,1,1,1
"25",2,2,2,2,2,2,2,2,2,2
"26",1,1,1,1,1,1,1,1,1,1
"27",2,2,2,2,2,2,2,2,2,2
"28",1,1,1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1
"40",1,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1,1,1
"44",2,2,2,2,2,2,2,2,2,2
